"read","assigned_region"
"101d0e34-64c3-4efc-ae07-793e6fc6287f","chr8_telo_1"
"101ddb05-2fe5-4265-b67e-16c9e963cba7","chr10_telo_2"
"1045a996-79aa-46e1-b1eb-851d7d8986f6","chr7_internal_1"
"10626586-47b3-410b-b972-f0bf0983f87c","chr5_telo_1"
"1067008c-4030-4213-adf5-d313e8e80e72","chr12_internal_1"
"106769bb-6605-4264-9e0b-28510bb920e0","chr7_internal_1"
"1097601e-db22-43f7-8e1f-c304f31bcaa5","chr12_internal_2"
"10c3298a-0b01-4cb5-b69d-104393663754","chr7_telo_1"
"10e6287c-1adb-4e75-9e23-5e8e89f7bc19","chr4_internal_0"
"10f8ec6e-a964-4101-a916-1e67f8fbdf50","chr12_internal_1"
"111de986-b07f-4d2a-ba2b-90aefebef90f","chr8_telo_2"
"111e29cb-b208-4465-a38c-6ed0833998f4","chr3_internal_0"
"111ee63d-2fe2-4e91-9371-ec738b139c31","chr9_telo_1"
"112e932e-403e-4db7-a3ad-a671be7c785d","chr4_internal_1"
"11a1dd2d-bc5e-4991-a48c-51f09fc3b273","chr1_telo_1"
"11b3c224-97f1-48f3-b590-c8d2016746b8","chr7_internal_1"
"11b73924-7b79-4aa6-b55c-764b8ce50c09","chr6_telo_1"
"11ef4864-00b8-45dc-9eab-77204ac4487f","chr7_telo_2"
"120b93d8-a142-4144-a81b-7f110bce5adb","chr8_telo_1"
"121d6b48-3954-4780-9cf0-1e8a6fe97f7d","chr6_telo_1"
"1224fa2e-9e9f-4983-a169-85f3d17ae089","chr12_telo_2"
"129a011a-818e-4347-849e-8a36f9d243a1","chr7_telo_2"
"12f947ca-4edb-4361-8c84-e90d54c464d9","chr6_telo_2"
"130ca0cc-26d2-425e-8808-a3dbf54ddeda","chr12_telo_2"
"130db4d7-28b0-4068-8989-75739938bc58","chr4_internal_2"
"13323d3b-bae3-4997-988a-4a593540b704","chr4_internal_1"
"13508bc7-dfaa-4bea-830d-44041ffd8dae","chr4_internal_2"
"1356c3e3-b4dd-4c04-9a59-342f43c8a964","chr4_internal_2"
"136f50a8-26e1-4572-a21e-afc2b6c1a6eb","chr8_telo_1"
"13aa2f32-a29b-4f4d-9f75-18fb26c419a5","chr4_internal_1"
"13b8f7db-ed8a-4a9f-9f58-5d1792473f7b","chr7_telo_2"
"13c8413c-d50e-4614-b3b3-e2a425fb953a","chr7_telo_2"
"13d19ec1-5475-4778-98b9-65c4b5f5c3bd","chr6_internal_1"
"140ce130-9b2f-440f-b5c5-2b4352a760e1","chr5_telo_1"
"1427aa9b-c9d0-48e8-b02a-de2c79ac2519","chr5_telo_1"
"1437c24b-0cbb-4cad-bfd9-b56ad1d33898","chr7_telo_1"
"14491909-2bd6-483a-b05d-6da86890af59","chr7_internal_1"
"144b8b79-2df5-47da-9463-945bbf4aac08","chr12_telo_2"
"145a32b5-7137-46a1-bb40-76e71e3d7f46","chr7_telo_1"
"145d6c42-9f9e-4c1d-8d67-2eabe7f980d5","chr12_telo_1"
"146bc734-d5e0-455c-925a-49bf4de423ca","chr12_telo_1"
"14973d89-fc86-40b3-ae39-08ed958a48ea","chr7_internal_1"
"14b8644c-6d50-49d6-9835-bed012caa756","chr7_internal_1"
"14c4a423-4039-4d24-a3a5-dfa210fd946a","chr12_telo_1"
"14da06c1-cbe2-4908-9902-35c42b53ec52","chr9_telo_2"
"14de0948-53c7-4308-aa46-bb038f6ef2b4","chr5_telo_1"
"150b4b00-e6fd-490a-b333-78af60e619fb","chr3_telo_2"
"150cfa16-d036-4d8c-ba22-7d48a5ec71e8","chr7_telo_1"
"152178ef-83a1-4ca5-ab33-8cfa02017354","chr6_internal_1"
"1524d5fb-336e-4044-a056-8492727eaf71","chr9_telo_2"
"152af920-f400-405f-9da9-b85ab395dad5","chr4_internal_1"
"152dba5b-00eb-41e2-92e4-d92e79353381","chr7_telo_2"
"1535c2c7-cca5-4acf-a547-8dac020791d4","chr1_telo_2"
"1549558e-2905-467c-9642-c44c516c44c1","chr12_internal_2"
"154c3f30-4aa1-4669-a399-adc4603263f6","chr7_internal_1"
"155e6920-5dd8-4672-a448-4426564559b8","chr12_internal_2"
"15765028-47a2-4dae-a1f7-0e06bf6e291a","chr8_telo_1"
"15776311-d098-4de3-bf69-93f7520d5861","chr6_telo_2"
"1592c07a-0ad0-4c25-a021-22435f924fa4","chr4_internal_2"
"15b919f9-c259-40a1-a6db-5399a9222edf","chr4_internal_1"
"15cde277-4849-4c84-ad6c-299a7245b045","chr3_telo_2"
"15d0ed4f-e3a6-4964-8128-d01aa109cf1e","chr6_telo_2"
"16076440-94fb-480e-b723-d80b1381f59f","chr7_telo_1"
"1613847a-6a08-4674-a127-4d9526f9efd3","chr7_telo_1"
"162b46a1-a0c1-4af8-a649-27b55f67bf17","chr3_telo_2"
"1643b50b-307a-404b-8941-f31f47f00e5d","chr4_internal_0"
"16448763-43af-4ec6-a90a-133934115d20","chr13_telo_1"
"166cb602-606b-463e-9613-1a17569c0b03","chr12_internal_2"
"1687b442-9cfa-435d-a815-c7a60bc0de29","chr6_telo_2"
"16b2d412-7e9b-4469-937e-e037404b7536","chr5_telo_2"
"16bda878-6aaf-489f-9dce-fd49f85468e1","chr10_telo_1"
"16efb877-9cd0-432c-9b88-1ec8760035e2","chr3_internal_0"
"16f0fb0d-289d-4e78-b8d0-d47b3fcb718d","chr12_internal_2"
"16f81190-7cdf-4467-b801-cffb9f0fc857","chr4_internal_1"
"16fa9136-cdd7-4b44-b47e-6712427780b3","chr8_internal_1"
"170d0982-2f14-41e5-b7bc-d321de44a21d","chr12_internal_1"
"1711e0a7-d046-4c83-bd3b-ec0e9d401754","chr11_telo_1"
"172258cb-e19a-4bb2-b5fb-fb5700857c6b","chr2_telo_1"
"1726594d-94cf-4289-ab49-13de27a4ab2e","chr4_telo_2"
"1730bc77-17d4-4ff1-bbb1-fa2cd6623462","chr9_telo_2"
"1759b755-b0a5-4dc3-84e9-a8394f9d61b1","chr6_internal_1"
"17749e50-8f48-42cc-867e-96ec729c8f2d","chr10_telo_2"
"17780a58-bc9c-4108-a73b-db0996380b4d","chr4_internal_1"
"178f4e55-a318-461a-ba1d-99606dc6f17e","chr12_telo_1"
"17b99a03-1392-45d8-ba13-ff31e0724df2","chr4_internal_1"
"17e38d33-bf59-431f-be50-6d6a8adee502","chr3_telo_2"
"183a1859-2b34-4ee7-a8a9-db1a3b7a4b33","chr4_internal_2"
"1853b27d-7b34-4609-9cb7-6bc9cdc5eb43","chr11_telo_1"
"1874f154-a79c-4151-9a12-4536afbbedd0","chr6_telo_2"
"187b4290-eeb7-4384-85c8-c113e74ab14a","chr12_internal_1"
"188f6a72-3fdb-4b1f-8414-cb1e2b82ef58","chr7_telo_2"
"189c6097-ba60-4349-8224-201e778b7487","chr9_telo_1"
"18be2cff-df98-45f5-a62d-dc805c2adbd3","chr4_internal_2"
"18c0128b-7742-450c-8c25-ade029d83aa5","chr9_telo_1"
"18c1470a-d221-4b76-8c33-434070874d97","chr8_telo_1"
"18ca9572-213d-4330-86b5-675868131423","chr2_telo_2"
"18db916e-4a9b-461b-8354-e8df43eb00f4","chr4_internal_1"
"18dfd80d-62b8-4016-b107-1348d633135c","chr5_telo_2"
"18e7d566-7ab9-40d1-ab94-80d54ff74046","chr13_telo_2"
"18f171b9-b777-4157-8b17-1740091cba10","chr9_telo_1"
"18f895a0-9dd8-40be-ae87-da22900de7ac","chr7_telo_1"
"18f8e90e-dbb2-4b82-a2d8-998839574475","chr3_internal_0"
"18fbbfeb-16f0-4d73-9d44-5e7a80ed2555","chr7_telo_2"
"191597a6-fc6b-46a7-ab43-f85d468bc12d","chr10_telo_2"
"195c898c-3bd9-452b-a76b-d905ddb39399","chr12_telo_2"
"19a21fee-d594-4cd6-aae4-1f67539688fe","chr2_telo_2"
"19a6f5ff-baf6-471e-8b63-8a8cfe1406fd","chr4_internal_0"
"19a7b834-b292-4766-be3a-25e02e5705f7","chr8_telo_2"
"19ae2f4b-ecbd-430f-a78d-a5398cec0b8c","chr13_telo_2"
"19b07f6f-4738-4e3b-95df-58e875ffd177","chr9_telo_2"
"19c0600f-1036-48e6-96bb-f201e79ea5c7","chr6_internal_1"
"19c1cf61-77d3-4e94-b561-fce47ba24dda","chr4_internal_1"
"19d37cf8-bd4e-4d4a-a05a-440d128d028c","chr1_telo_1"
"19d5d5e6-b734-4aeb-a396-f0c85f241705","chr4_telo_2"
"19f0a0da-835a-40c5-88ad-b2e36ad25b24","chr3_telo_2"
"1a038429-6204-47c1-9097-4cc2c421cecb","chr9_telo_1"
"1a149c79-1010-461b-be24-cbed9ccb948e","chr8_telo_1"
"1a33193e-451f-4f55-855a-133993100bb8","chr2_telo_1"
"1a5ebef6-5994-4927-8b89-1954d5984d3e","chr2_telo_1"
"1a75419b-b9b5-4c8b-a1a1-26e047a25e9b","chr5_telo_2"
"1a7a11f8-9032-49d7-b1aa-9ce9b8842133","chr9_telo_1"
"1a8571f0-0218-40f1-8563-be09494e76c1","chr8_internal_1"
"1ab83eb2-79d8-404d-9ddd-3d33693b48fa","chr12_internal_1"
"1abc6dee-e840-47bf-ab86-86c469707182","chr7_telo_1"
"1ac17cc7-f995-4dae-bd06-55d4d4025503","chr4_internal_1"
"1ad3f1a4-057d-40df-98ba-0d01ec09218a","chr12_internal_2"
"1ade51ca-b8ee-483c-a988-49f92daf391c","chr2_telo_1"
"1b331035-0699-4e19-b1a4-48df462125a8","chr6_internal_1"
"1b500587-7361-4688-b978-6c1e49b277b8","chr2_telo_2"
"1b684c69-f795-4d86-8e2a-b48d783bfeb3","chr12_telo_2"
"1b9cb670-80ff-4f40-87af-ce8c0766ef16","chr12_telo_1"
"1bc82f80-b1cb-4195-8d28-687716e26407","chr11_telo_2"
"1beb8e6a-72d7-4b99-8ac7-116cd5a37467","chr12_telo_2"
"1bf6ff97-7230-4031-b2be-11a1914a824e","chr10_telo_1"
"1c091d82-754b-462c-bd35-8fcb4cfb2e09","chr7_internal_1"
"1c23383a-6c8e-4a00-8fae-84f1c215523f","chr9_telo_1"
"1c2417e3-cb83-41df-b6e9-3bd8e86bd7e0","chr4_internal_1"
"1c3c6cbd-c47b-40d4-846b-d3fc1cb2997c","chr12_telo_2"
"1c3e795a-c374-48b0-b4b3-0588375e6652","chr6_telo_1"
"1c7e325e-115a-41c8-94bd-8a09d3a71e0f","chr11_telo_2"
"1cbaf79a-6dde-45d2-928c-f5cae26bf6ff","chr1_telo_2"
"1cda03ac-3958-4b86-97a0-3a785073465a","chr2_telo_2"
"1ce11a00-453e-4c73-b271-ff380e13baf1","chr8_internal_1"
"1d39b13d-88ab-4cdf-9b7b-14d59d32698b","chr12_internal_2"
"1d48fb91-98f6-4b61-b1fb-e4d79b9f7458","chr12_internal_2"
"1d55cbda-d038-41ee-bb30-3f838c666238","chr12_internal_1"
"1d7c9600-be80-4b1c-92f1-0baf0bc63c15","chr6_internal_1"
"1d7e4f5e-f1c4-4b09-888c-09acf6320ae8","chr5_telo_2"
"1d7f139e-0eec-4d93-9240-e925288a85d5","chr6_telo_2"
"1d87baf4-0d35-4ddd-a334-10f550fb7db2","chr4_internal_1"
"1d958c90-7dcb-4e37-93e4-0623c52043d7","chr11_telo_2"
"1d994be2-ca86-46e6-8ab8-b80ffd0bc277","chr4_internal_2"
"1da636c0-28a4-4e5b-9a6e-71417a192145","chr6_telo_2"
"1dc804d7-83dd-4a2f-a1d4-86fae32b4631","chr13_telo_2"
"1dee847d-aee9-4a86-828d-ab19ee22670c","chr2_telo_2"
"1e109f06-e773-4b4d-a4d3-0e7b42ece237","chr8_internal_1"
"1e31253d-5321-4e78-8b04-377c2b7b3859","chr6_internal_1"
"1e5a240b-e495-4279-8589-6fd728b21b2b","chr12_telo_2"
"1e5aa7c3-d7c0-461a-9728-85cc549e0477","chr6_internal_1"
"1e8ad487-dc86-4d9d-a1d5-5f1618bc53e6","chr12_telo_2"
"1e95bfc4-983b-42ad-afc6-414c7d6f31d8","chr12_internal_1"
"1eeb8c92-7ed7-48c7-9ded-a3b148cd1ae0","chr11_telo_1"
"1f0d7614-489b-4698-bd3b-712f292d436a","chr5_telo_1"
"1f611031-2dce-43b9-b1dc-09c800262b5f","chr4_internal_0"
"1f8ba15a-fa5d-49d9-bee2-2d0de5f48adb","chr9_telo_1"
"1fa6a41f-23fe-4486-aca7-b9ca665c704d","chr1_telo_1"
"1fbb6cfe-26a6-452d-a223-73969441a0cb","chr8_telo_1"
"1fca0444-649d-4f62-a95a-fac813ad7042","chr4_internal_2"
"1fe12c30-66cb-48a1-8005-8062d4974702","chr11_telo_1"
"2044d4bf-5ccd-4b73-b137-cb58e07f157d","chr9_telo_2"
"2069e0d4-72f1-4773-a573-0632c64f212b","chr7_internal_1"
"206e59dd-9d8e-4842-9d16-b5177d84f12a","chr7_internal_1"
"20a2f194-fe27-4488-b672-fa4d098c499b","chr12_internal_2"
"20b73ad3-a13e-45c4-8a4f-2e295f9b7412","chr7_internal_1"
"20fba775-726f-494f-a246-db9da19a67b5","chr5_telo_2"
"210598b2-5e8a-46f7-a055-f69c1ccad2b9","chr6_telo_2"
"2120ac70-3910-4452-93c6-57a9f37e3b97","chr12_internal_2"
"21250443-9242-453a-aef3-fc475af7c2cc","chr7_internal_1"
"21aca99f-f390-4aa8-901a-3a1500b80eb9","chr12_telo_2"
"21b70ac9-2488-4def-9600-409efd57e779","chr8_internal_1"
"21f4e12a-b1f7-4d6e-bb82-d04aa42abe1f","chr12_internal_2"
"221abcd8-3a01-43f2-8242-23b3e6965ea3","chr6_telo_2"
"2231f09a-f205-405c-8b05-e55924860181","chr10_telo_2"
"225f9439-bf6d-41b3-9a87-cec6087b5d29","chr6_telo_2"
"22937b64-4312-453c-b8f6-1848464a18bb","chr4_internal_0"
"2294ffdf-78c6-437a-8f17-a501f474290d","chr5_telo_2"
"22c10fa4-2d1b-4256-bd5e-407922dd5989","chr12_internal_2"
"22da16be-4104-4e15-a69d-377b62163aeb","chr12_internal_1"
"22f916ec-2a15-4e22-bb64-96e94049a9f8","chr9_telo_1"
"22fb6834-13b0-4178-b575-a15821b54d2f","chr12_internal_2"
"22fdffcb-af8c-464f-a942-1859610fe60c","chr9_telo_1"
"2306fd43-58e7-428c-b24c-6eaf452d90af","chr4_internal_1"
"234e32a9-0815-460a-af26-e48bdf8bb547","chr2_telo_1"
"235d1f6a-5ffa-4a95-831c-339d1f8a69a2","chr4_internal_1"
"236d967a-06a7-4572-833e-f22ab0edac15","chr10_telo_2"
"2395e172-439f-4c7b-8dbd-0d3056a29400","chr4_internal_1"
"23d696ee-97b2-44c4-b6c3-1dfb6178301c","chr10_telo_2"
"23ddd39c-9241-43fb-b907-aa54b1df2d99","chr7_internal_1"
"240157b6-411d-4604-bf4c-c8e335d0a041","chr4_internal_1"
"2434c7e2-ee7e-4a0a-8504-63854b58f4cd","chr3_internal_0"
"24356fed-deb5-4904-8127-9f6212177ad3","chr2_telo_1"
"2450f572-ad38-4659-b141-c58ef533dc9a","chr5_telo_2"
"248f4a6f-9f7e-4c27-ae92-89dee6173a47","chr7_internal_1"
"24a36d3c-30ed-4235-8788-076ed18cf1d8","chr10_telo_2"
"24a746b7-31da-46e4-9bc8-eec42fbc9a44","chr4_internal_1"
"24a9ecc0-68bf-4108-93a7-6530f4e9f3dd","chr4_telo_1"
"24b0eafd-7437-4f59-a914-9f6b25004021","chr13_telo_2"
"24b423af-c06a-46dd-804c-c026aa096f8b","chr4_internal_1"
"24bef852-0c0b-4607-94d6-7610bb4cd6e0","chr1_telo_2"
"24d84e57-2523-4643-8e3b-04beaa4494bd","chr8_telo_1"
"24d8e98d-99a6-4e4f-8cb0-f415e6dcbe50","chr8_internal_1"
"24e93041-4021-4743-861b-3ecf59770ee5","chr1_telo_2"
"25135f93-feb7-4235-a7e4-607112eeb603","chr2_telo_2"
"2527dd4b-4755-414b-9125-61189faf4b02","chr8_internal_1"
"253471b3-1a07-44d1-8c5d-67c5f81d3e01","chr9_telo_1"
"2539cc34-68d0-4bf8-a1fe-d255f866d69b","chr7_telo_1"
"2550fca9-c0c0-4002-ad4e-185eee29fe67","chr2_telo_1"
"2551843c-c8e5-45a5-b72a-2caeb16e252b","chr7_telo_2"
"2561f891-c781-4506-88a6-148393c52b2b","chr4_telo_2"
"256228c4-3ad3-4f0d-8227-4d8f6fdea070","chr8_telo_2"
"2584fc9d-0885-4c53-b1f7-bacef396e383","chr6_internal_1"
"258f038d-05e1-427e-a878-446c34bc29b6","chr7_telo_1"
"25b2a662-1fb1-4e85-abfe-25dce6c2e97f","chr6_telo_1"
"26260916-7f10-41e5-b063-f681df12510c","chr12_internal_2"
